"","tm1","tm2","tm3"
"35783",0.622262999531423,0.530732396993726,1.07221417701206
"35784",4.64101523993379,4.25332733896465,6.70892069229141
"35785",11.1049933625737,20.5179924603299,19.0023113505603
"35786",10.7190050477791,9.86910798694034,6.74263386159941
"35787",14.9278312773305,6.7404971035335,22.3610019561908
"35788",0,1.76442161119769,0.381919240913001
"35789",0,0,0.456919793599368
"35790",74.3420832927905,77.273719448552,85.7578167444912
"35791",0,7.40976631948718,0.0409005711899739
"35792",400.811424860169,411.035753105473,413.851896100039
"35793",0,0,0
"35794",0,0,0
"35795",45.824657055665,58.9446164837089,52.2858448507318
"35796",6.09957845340379,7.06405644517279,9.8832673709164
"35797",33.394484659139,36.0946048601176,48.7950631058253
"35798",12.0339850142286,10.7058103021747,9.7391819824543
"35799",23.3569915921382,38.0610947558358,37.6285254947759
"35800",1.43671203487632,2.5992942760083,3.43205671029234
"35801",0,0,0
"35802",26.135114890951,23.5595226066162,19.1487596668099
"35803",8.34655518577837,6.3435157926393,14.025866246221
"35804",3.46890787540124,3.42946322539562,3.39911439683759
"35805",64.7180634711472,82.0457359745382,89.1933003799048
"35806",9.93440762211103,11.2144297048445,11.2593429547257
"35807",2.7364476650553,1.90305473779179,1.90781871878969
"35808",0,0,0
"35809",34.8780750571948,17.7685216044349,11.0483206092327
"35810",7.92481050585512,3.80610947558358,1.1931683871282
"35811",0,0,0
"35812",74.310038536137,81.8782783624172,58.0595373959419
"35813",50.8890585987003,52.1884943572991,56.9204725743527
"35814",1.38833789228789,0.625893558207077,0
"35815",3.45803718558791,2.90724967323174,3.91558826181801
"35816",136.47592635567,136.789678270173,149.507089161389
"35817",15.6466920048249,12.7028903747602,23.5244747770533
"35818",28.3629765725071,19.9178612433914,23.1622694810068
"35819",147.681344323614,133.332772566537,148.419651896084
"35820",0,0,0.881416239399655
"35821",1.14034717149833,2.25443116648304,3.13478410325755
"35822",0,0,0
"35823",2.12795837657221,1.96766462086497,1.2459525853242
