"","tm1","tm2","tm3","tm4"
"5691",14.6845457527089,16.425749445328,15.5710747867691,14.3670613216346
"5692",52.6065483975021,46.5627619989648,58.2244288640598,47.722631386485
"5693",16.0156797666835,16.2842553610647,14.1913880000565,7.64368578330333
"5694",11.7126185597978,10.6702086214488,10.5188754375462,8.41740737951851
"5695",10.7188463120283,12.8738073747318,9.13012374828807,12.9745727864089
"5696",6.64247573596006,4.21655788567511,3.29442935715596,3.38036941963497
"5697",0.950816045001743,3.58737308696723,0.894146858689426,0.614600986429666
"5698",0,0,2.58025236364663,2.53366120936311
"5699",100.865019772611,70.4612975634641,102.161346810964,88.8089119385149
"5700",7.06842225015581,2.55946795078986,6.5446136111037,11.1078392092608
"5701",10.2470100147141,16.4048376495682,9.69473460904121,9.87225921059285
"5702",0.60397748770551,0.683631475063566,1.135960160096,1.67317249674923
"5703",0,0,0,0
"5704",16.4627006648873,12.515019767238,14.2963264933148,9.96492590476785
"5705",14.6278660571753,8.18656394467165,13.3419222013251,11.6256471129213
"5706",0,0,0,0.199335664504758
"5707",3.66989674771418,5.25864057764501,5.76494671676211,6.00547908818814
"5708",33.154960900799,45.6291261180067,36.0824135314728,31.7262835897541
"5709",0,0,0,0
"5710",5.87228844980187,0.124062551543807,2.64121364188379,0.273276247543017
"5711",14.0077365306497,23.1643439755077,17.1852214841919,18.6569598144011
"5712",10.0294608419581,6.51614892343298,4.55928087556977,12.4592175004118
"5713",0.965405285903886,1.49104807318391,1.01935895847768,1.094791880589
"5714",0.251271470494905,3.45071125508276,0.0700574732881505,0
"5715",6.12897081030437,2.26312881015168,7.30513006850604,6.25189129583106
"5716",0,0,0,0
"5717",2.18095607098935,6.63598318285146,5.16050472729326,7.47105228401944
"5718",0,0,0,0
"5719",0,0,0,0
"5720",0,0,0,0
"5721",0,0,0,0
"5722",220.733531656309,138.447695495984,182.980887246267,166.085044135261
"5723",7.00324341585631,5.8280522303393,7.29417495107797,5.98821081982167
"5724",12.007199108794,7.85115955284885,4.54503168642342,16.2247295792243
"5725",63.9878057295734,48.3435248012664,47.0419161473396,28.6638909191566
"5726",0,0,0,0
"5727",1.5455489020833,1.20119695588324,0,0
"5728",6.668918093415,0,4.01372589900587,1.9706253850602
"5729",0,0,0,0
"5730",1.12951634064407,0.39064655717918,5.28442765384918,0.817029686724298
"5731",2.0050725168773,2.99946439864886,0,0
"5732",109.146091417942,117.248064042187,136.241119289312,112.189027961652
"5733",26.7598338992956,17.1469705995811,30.7637810769915,19.1540874437567
"5734",4.59635044540235,4.04877717086394,4.07950124327173,5.40061575736439
"5735",62.2869498619829,65.9040868382287,65.4624919968746,75.825827366247
"5736",2.74378344414789,0,5.16050472729326,0
"5737",205.607075286279,242.883017204348,276.077229226994,257.329765176717
"5738",0,0.608437752785373,0,0.708404015716135
"5739",22.6087755797786,14.2294784118685,20.351154097271,13.4191910961359
"5740",12.0283031793958,9.74215955349123,7.54528342702726,8.43274109580956
"5741",3.90352696177741,3.83609996913839,3.85042814059639,1.8675956337058
"5742",78.3704267276586,94.6416863812971,71.7852311286903,94.3271223781567
"5743",0,0,0,0
"5744",10.9751337765915,21.1951535744922,7.74075709093989,15.2019672561787
"5745",111.311528351804,136.998499349397,118.62415114961,141.437911040329
"5746",20.3664575976181,3.84347513777511,8.95746145753748,8.63092720913126
"5747",2.96380381466918,5.69692895886305,2.31249032590971,3.81244304616431
"5748",137.23890846318,146.345081332441,115.520860543717,139.536989730461
"5749",0,0,0,0.346128580514087
"5750",15.3642524376731,12.721191066438,10.6682665870023,13.941611083889
"5751",0.890270160069261,1.28483929710528,0,2.49323044538392
"5752",0,0,0,0.94630719867779
"5753",6.62798716755066,2.98209614636782,8.9193908866797,5.04646924004834
"5754",15.7710858297922,20.6472309808258,14.7138357926957,12.5217306049516
"5755",141.206768618552,145.609050656886,135.30724972083,142.296496093728
"5756",15.8765287472739,19.9200149725232,16.5722572265122,13.6357039631179
"5757",6.01032983923342,9.4222578901944,7.53162084672853,5.14199874910746
"5758",22.9900170688602,12.2772674128208,9.94076173783859,16.9088548077496
"5759",1.15848634308466,0,0,0
"5760",317.660338744729,285.690967089886,270.866839168708,268.275179382159
"5761",5.63939680220119,1.82764943945095,1.98873205893712,7.90141776358695
"5762",18.6322038532833,30.213785756713,9.51093022413932,19.6506049609907
"5763",9.80290704693212,12.1503917432492,9.34584365518016,9.67668260007931
"5764",6.81302535208414,5.8078124816316,6.10924367331102,7.83486004741517
"5765",0.169518835913815,0.426389740257358,0.120700242959639,0.136410709418491
"5766",31.9454786711504,29.8856242627703,25.3847684918759,34.0626619492115
"5767",173.396353735071,190.53339008457,154.663362267995,178.846673602102
"5768",2.27295669929411,0,0,1.04944547133383
"5769",11.7652739456341,6.3008240322239,14.2077187112188,6.75108461482197
"5770",0,0,0,0
"5771",3.47130178161134,5.52462357505674,5.73389414143695,5.374432868346
"5772",14.842309799158,17.2923906464517,14.5578225533075,16.9793319523503
"5773",0,0,0,0
"5774",23.460256352122,27.0672300468352,22.3918452247495,25.0206766310913
"5775",21.1890889202905,17.63202138081,17.0546357842321,21.3563120647284
"5776",21.007654860117,17.4309998519881,20.8198700020721,16.3579155322229
"5777",0,0.743230116479364,0,0
"5778",17.7618772780174,15.9488703945168,10.640121937723,18.1116488570374
"5779",49.2239599531358,49.9731487879184,48.2021311713184,56.8463321236032
"5780",0,0,5.16050472729326,0
"5781",20.4826624551505,14.9148682487132,17.4874246572728,15.0167827159595
"5782",8.68612106904276,6.21509319976232,5.60242640283494,7.62897988454639
"5783",10.6113171873123,11.1592061950743,8.33948968360927,7.41434191837567
"5784",6.89040353643154,3.13936888620311,8.26456772115386,0.819153624079804
"5785",32.7046371446133,28.1874191411358,30.2660636448435,36.1410754117198
"5786",10.9751337765915,6.90142251016552,15.4815141818798,7.60098362808934
"5787",22.5862438481843,25.539833766096,30.8980948605684,26.8232503926349
"5788",0,0,0,0
"5789",2.13058941685726,1.52493552939263,1.13700514509176,1.74029254784537
"5790",51.6999936003792,31.2481074765828,32.4681755758867,33.6179306760865
"5791",0,0,0,0
"5792",11.110815375478,12.9875670864379,11.8805026414059,7.30863810393206
"5793",15.802160206111,18.0416816855253,15.2266744422604,18.2517446378195
"5794",0,0,0,0
"5795",28.045729569969,26.6410765552423,23.8715689135622,22.8680942523425
